,index,symbol,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l ticker
62,ETSY_1,ETSY,Inactive,1,5/25/2021,4/11/2022,6,1.0843729999999998,1.084373,-2.220446049250313e-16,234.0,131.61,102.39,215.79349376091074,235.01512836077544,121.36512654778383,-102.39557184000006,-102.39557184000006
63,EW_1,EW,Inactive,1,4/11/2022,4/26/2022,1,1.0,1.0,0.0,120.91,117.5,3.4099999999999966,120.91,120.91,117.5,-3.4099999999999966,-3.4099999999999966
64,F_1,F,Inactive,1,6/17/2021,11/1/2021,3,5.361344,5.361344,-1.1102230246251565e-16,80.4,83.69000000000001,-3.29,14.999373052727078,8.302337938363445,15.610078189349538,3.2742003199999985,3.2742003199999985
65,F_2,F,Inactive,2,12/6/2021,4/1/2022,4,4.897489,4.897489,0.0,100.0,80.62,19.379999999999995,20.419830298751055,20.41862676975895,16.46,-19.393225330000003,-16.119025010000005
66,FANG_1,FANG,Inactive,1,3/21/2022,4/26/2022,2,1.0,1.0,0.0,134.66,125.55,9.11,134.6629737,134.66,125.55,-9.112973700000012,-9.112973700000012
67,FB_1,FB,Inactive,1,10/29/2021,11/18/2021,2,0.921877,0.921877,0.0,300.0,312.98,-12.980000000000018,325.4243204570675,325.4230228110692,339.5,12.976045229999988,12.976045229999988
68,FB_2,FB,Inactive,2,11/24/2021,3/31/2022,1,0.146606,0.146606,0.0,50.0,32.69,17.310000000000002,341.05,341.05,222.98,-17.309770420000003,-4.333725190000015
69,FMC_1,FMC,Inactive,1,4/12/2022,4/22/2022,1,1.0,1.0,0.0,138.08,135.67,2.410000000000025,138.08,138.08,135.67,-2.410000000000025,-2.410000000000025
70,FVRR_1,FVRR,Inactive,1,8/13/2021,10/27/2021,3,1.568735,1.5687350000000002,0.0,265.77,289.43,-23.660000000000025,169.4170796852241,129.4971927446741,184.49839619183606,23.658589049999954,23.658589049999954
71,GDYN_1,GDYN,Inactive,1,12/16/2021,3/31/2022,1,0.645187,0.645187,0.0,25.0,9.04,15.96,38.75,38.75,14.01,-15.96192638,-15.96192638
72,GLBS_1,GLBS,Inactive,1,6/29/2021,6/29/2021,1,5.0,5.0,0.0,19.25,19.2,0.05000000000000071,3.85,3.85,3.84,-0.050000000000001155,-0.050000000000001155
73,HAL_1,HAL,Inactive,1,4/11/2022,5/10/2022,2,3.058624,3.058624,6.938893903907228e-18,120.0,118.18,1.8200000000000016,39.23831597803457,65.67276200873364,38.63833839007345,-1.8351058500000121,-1.8351058500000121
74,HES_1,HES,Inactive,1,4/11/2022,4/28/2022,2,1.000434,1.000434,4.548228113576691e-17,112.0,113.97,-1.9700000000000017,111.95498273749193,-4423.9631336400935,113.92055961712617,1.9664299399999985,1.9664299399999985
75,HZNP_1,HZNP,Inactive,1,4/11/2022,4/26/2022,1,1.0,1.0,0.0,113.34,105.58,7.760000000000005,113.34,113.34,105.58,-7.760000000000005,-7.760000000000005
76,IDXX_1,IDXX,Inactive,1,10/19/2021,11/5/2021,2,0.115456,0.115456,0.0,75.0,73.72,1.2800000000000011,649.5976944463692,649.5981152993348,638.51,-1.2801408500000089,-1.2801408500000089
77,IKT_1,IKT,Inactive,1,6/30/2021,7/1/2021,1,50.0,50.0,0.0,138.25,140.15,-1.9000000000000057,2.77,2.77,2.8,1.4999999999999902,1.4999999999999902
78,INTC_1,INTC,Inactive,1,3/23/2022,4/28/2022,2,3.0519890000000003,3.051989,2.8449465006019636e-16,150.0,147.31,2.6900000000000044,49.6826246567217,98.4823712708453,48.266873130932,-2.6956087700000038,-2.6956087700000038
79,INTU_1,INTU,Inactive,1,11/1/2021,11/4/2021,1,0.06364,0.06364,0.0,40.0,40.02,-0.020000000000003126,628.54,628.54,628.85,0.019728400000003764,0.019728400000003764
80,IPI_1,IPI,Inactive,1,4/11/2022,4/13/2022,1,1.0,1.0,0.0,100.92,104.76,-3.8400000000000034,100.92,100.92,104.76,3.8400000000000034,3.8400000000000034
81,IQ_1,IQ,Inactive,1,7/26/2018,7/28/2021,1,2.0,2.0,0.0,65.8,22.3,43.5,32.9,32.9,11.15,-43.5,-43.5
82,KEY_1,KEY,Inactive,1,11/12/2021,11/18/2021,2,5.184448,5.184448,0.0,125.0,122.91,2.0900000000000034,24.111754589881123,24.11057069142173,23.71,-2.0828757800000037,-2.0828757800000037
83,KEY_2,KEY,Inactive,2,11/30/2021,2/22/2022,3,4.369059,4.369059,0.0,100.0,112.1,-12.099999999999994,22.89057874018181,22.888223757106505,25.66,12.099764880000007,10.016889100000004
84,LC_1,LC,Inactive,1,11/12/2021,11/18/2021,1,0.228371,0.228371,0.0,10.0,9.74,0.2599999999999998,43.79,43.79,42.65,-0.26034294000000013,-0.26034294000000013
85,LC_2,LC,Inactive,2,11/24/2021,12/14/2021,4,1.004722,1.004722,0.0,35.0,26.2,8.8,34.83753687089564,34.835506737187,26.08,-8.79888996000001,-9.059232900000008
86,LCID_1,LCID,Inactive,1,5/26/2021,9/21/2021,3,4.0,4.0,0.0,83.39,98.31,-14.919999999999995,20.849999999999998,11.900000000000006,24.5775,14.91000000000001,14.91000000000001
87,LCID_2,LCID,Inactive,2,11/24/2021,3/18/2022,2,1.2697120000000002,1.269712,2.220446049250313e-16,60.0,32.57,27.43,47.254060999659764,47.254810539712935,25.649999999999995,-27.4309355,-12.52093549999999
88,LITE_1,LITE,Inactive,1,5/4/2021,10/28/2021,2,3.0,3.0,0.0,246.88,245.55,1.329999999999984,82.29333333333334,82.955,81.85000000000001,-1.3299999999999983,-1.3299999999999983
89,LITE_2,LITE,Inactive,2,12/14/2021,4/28/2022,1,0.505254,0.505254,0.0,50.0,41.96,8.04,98.96,98.96,83.05,-8.038591139999998,-9.368591139999996
90,LMND_1,LMND,Inactive,1,11/9/2021,12/6/2021,4,4.501239,4.501239,0.0,275.0,200.58,74.41999999999999,61.09507891938197,61.09428981664826,44.56,-74.42834209999997,-74.42834209999997
91,LOW_1,LOW,Inactive,1,5/25/2021,10/27/2021,2,1.004185,1.0041849999999999,1.6653345369377348e-16,192.10000000000002,231.19,-39.089999999999975,191.29941654177267,151.6470850527715,230.22690540089727,39.09040040000002,39.09040040000002
92,LPLA_1,LPLA,Inactive,1,4/11/2022,4/19/2022,1,1.0,1.0,0.0,197.69,218.5,-20.810000000000002,197.69,197.69,218.5,20.810000000000002,20.810000000000002
93,LRCX_1,LRCX,Inactive,1,11/4/2021,11/18/2021,4,0.483696,0.483696,2.7755575615628914e-17,290.01,306.07,-16.060000000000002,599.5697583399491,540.6525552004996,632.771988935199,16.05978612999999,16.05978612999999
94,LULU_1,LULU,Inactive,1,6/17/2021,2/25/2022,8,0.5771470000000001,0.577147,1.1102230246251565e-16,230.0,179.01,50.99000000000001,398.5129521248486,398.51199087927336,310.16,-50.99264125999998,-50.99264125999998
95,LUV_1,LUV,Inactive,1,10/14/2021,12/15/2021,3,3.5121020000000005,3.5121019999999996,8.881784197001252e-16,175.0,145.3,29.700000000000003,49.83049570883761,52.46497228590302,41.37331467024592,-29.702482439999983,-29.702482439999983
96,MASI_1,MASI,Inactive,1,7/23/2021,11/22/2021,1,0.364431,0.36443099999999995,2.7755575615628914e-17,100.0,104.16,-4.16,274.4,0.0,285.81781130035597,4.161004390000012,4.161004390000012
97,MDIA_1,MDIA,Inactive,1,7/12/2021,7/12/2021,2,3.9302580000000003,3.930258,4.440892098500626e-16,50.0,53.84,-3.8400000000000034,12.723318123135934,12.721811138098312,13.7,3.8386117600000063,3.8386117600000063
98,MDIA_2,MDIA,Inactive,2,7/12/2021,7/12/2021,1,5.0,5.0,0.0,71.63,71.65,-0.020000000000010232,14.33,14.33,14.330000000000002,0.0,3.8386117600000063
99,MELI_1,MELI,Inactive,1,3/24/2021,12/6/2021,3,0.705099,0.705099,0.0,1000.0,808.9,191.10000000000002,1418.2429695829946,1402.7737512975657,1147.216421183408,-191.1005482499999,-191.1005482499999
