,symbol,stock,side,qty,cost basis,amount,fee,created date,date,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l_ticker,p&l ticker,p&l_line
793,PAC,Grupo Aeroportuario del Pacific,sell,0.687408,151.05,103.83,0.0,3/25/2022,3/25/2022,Inactive,2.0,12/6/2021,3/25/2022,2.0,1.417388,1.4173879999999999,1.1102230246251565e-16,170.0,203.82999999999998,-33.83,119.9388234484841,101.83180876568208,143.80885022308644,33.833089510000036,,49.29813767000003,21.38607165092445
794,T,AT&T,buy,4.166666,24.0,100.0,0.0,3/25/2022,3/28/2022,Active,2.0,3/28/2022,n/a,1.0,4.166666,0.0,4.166666,100.0,0.0,100.0,24.0,24.0,0.0,0.0,,-1.5453019199999987,0.0
795,ACLS,Axcelis Technologies,buy,1.0,79.45,79.45,0.0,3/28/2022,3/28/2022,Active,1.0,3/28/2022,n/a,1.0,1.0,0.0,1.0,79.45,0.0,79.45,79.45,79.45,0.0,0.0,0.0,,
796,GDYN,Grid Dynamics,sell,0.645187,14.01,9.04,0.0,3/31/2022,3/31/2022,Inactive,1.0,12/16/2021,3/31/2022,1.0,0.645187,0.645187,0.0,25.0,9.04,15.96,38.75,38.75,14.01,-15.96192638,,-15.96192638,-15.96192638
797,SYNA,Synaptics,sell,1.0,200.0,200.0,0.0,3/31/2022,3/31/2022,Active,1.0,10/28/2021,n/a,6.0,1.7773969999999997,1.0,0.7773969999999997,420.0,200.0,220.0,236.30081640736432,282.995689461112,200.0,-36.30081640736432,,-36.30081640736432,-36.30081640736432
798,ABCB,Ameris Bank,sell,1.958812,43.92,86.04,0.0,3/31/2022,3/31/2022,Inactive,1.0,12/17/2021,3/31/2022,4.0,1.958812,1.958812,0.0,103.0,86.04,16.959999999999994,52.584538771459435,52.582892079484914,43.92,-16.972202519999996,,-16.972202519999996,-16.972202519999996
799,PCOR,Procore Technologies,sell,1.136381,58.13,66.06,0.0,3/31/2022,3/31/2022,Inactive,2.0,11/22/2021,3/31/2022,1.0,1.136381,1.136381,0.0,100.0,66.06,33.94,88.0,88.0,58.13,-33.94370047,,-31.97036237000001,-33.94370047
800,FB,Meta Platforms,sell,0.146606,222.98,32.69,0.0,3/31/2022,3/31/2022,Inactive,2.0,11/24/2021,3/31/2022,1.0,0.146606,0.146606,0.0,50.0,32.69,17.310000000000002,341.05,341.05,222.98,-17.309770420000003,,-4.333725190000015,-17.309770420000003
801,TTD,Trade Desk,sell,2.0,73.8,147.6,0.0,4/1/2022,4/1/2022,Active,2.0,12/20/2021,n/a,3.0,3.015142,2.0,1.015142,225.0,147.6,77.4,74.62631408072987,76.24549077862999,73.8,-1.6526281614597451,,-405.9926281614598,-1.6526281614597451
802,TTD,Trade Desk,sell,1.0,73.7,73.7,0.0,4/1/2022,4/1/2022,Active,2.0,12/20/2021,n/a,3.0,3.015142,3.0,0.015141999999999989,225.0,221.3,3.700000000000003,74.62631408072987,244.35345396909295,73.76666666666667,-2.578942242189612,,-406.91894224218964,-0.9263140807298669
803,TTD,Trade Desk,sell,1.0,73.75,73.75,0.0,4/1/2022,4/1/2022,,,,,,,,,,,,,,,,,,
804,TTD,Trade Desk,sell,0.015142,73.97,1.12,0.0,4/1/2022,4/1/2022,Inactive,2.0,12/20/2021,4/1/2022,3.0,3.015142,3.015142,-1.0408340855860843e-17,225.0,222.42000000000002,2.5800000000000027,74.62631408072987,244.35345396909295,73.7676878037585,-2.5888801500000236,,-406.92888015000005,-0.009937907810411704
